Organism	Listeria monocytogenes								
Outbreak	1408MLGX6-3WGS								
pmid	25789745								
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree2.tre								
source									
dataType	empirical								
intendedUse	Epi-validated outbreak								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN01939119	CFSAN002349	GCA_001257675.2	SRR1206159	outgroup	1408MLGX6-3WGS	FALSE	ebe1fe3c5582bb4312c8e02d8bac4c48c8822af29ad436f245e3db45119525da	c87864dd8835b35ad028a4ea12e0d6eca82216801cd04604071b042d11aefca3	e391e460bf3e0f09f4cff0f7e60c6d128d35d8245a262b69895ad4dd564c03cf
SAMN02854695	PNUSAL000730	-	SRR1393979	outgroup	1408MLGX6-3WGS	FALSE	-	f93f85d3d261a5db2e661ab88145ca333950628105ac149ed23764a41fae8796	871bb06a9b5da77ddd0ab554eaf31768cbdbd1d3b294d2258e2c700c65afd43b
SAMN02950476	PNUSAL000870	-	SRR1534987	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	6fb69ae4ca0477f0ac9c15efc082910a71e087a7c090e363d22d1e3646dc3c75	78bcdb326719f044079b7cce97fa14fa0e9a2e33f1badeae794356036fdedabc
SAMN02990454	MOD1_LS1004	GCA_001257525.1	SRR1553826	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	b97b98390b9b3f0c23ebc5c496ff115791728a4921e00bf1bed9c2b21dc155f9	150c0cd540bc5553bf4e381a907b2bc6ab5e83be01c487dc26853a95cffb37a3	1aa119e7c9e4952b3da979defc0b65cdd9cd99aa1eb0da2f3c871229c59af50b
SAMN02990455	MOD1_LS1006	-	SRR1553773	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	33ac76d01e1c2bb08e6ebc0d15b6d5e7863ee70439d0039f8ed19553ffae4f92	0f5f5cb53d656c2cdf12b008b2e35c801cee807b1365ee3a7481dc2e26d0d7f9
SAMN02990456	MOD1_LS1010	GCA_001257505.1	SRR1553821	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	c5551b05b1f28e59a605804b9b13cb9d46dfd936d3e1ce3db3f212467018af32	9328144e529d9a6e954d4834d5e349bc5ef061c5b1d0224c31b489628cdd53c0	62a23822caf5a0e5b1b440f1d608de3a695ce57c4cc8903d3d9e91a2942e1b61
SAMN02991375	MOD1_LS982	-	SRR1553739	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	283a6748d4116f5ea42571b8c6628858db7fe2a140d03ad0f0ed36372c73a501	9523f79b742e008fedb26a64ec93cd4a6c378971fd4d6ecc694ccdeb53647f19
SAMN02991377	MOD1_LS985	-	SRR1553882	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	297d43adf29117cadb376e29a631b657574a7a0720180be1b6ace62289d0e2bf	53e44ac3a9b210b0a582d88a4364d8b59d5c9ba4eccda073640f6d74ab5e3d98
SAMN02991378	MOD1_LS989	-	SRR1553856	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	d685ed453d644b88466cf4852c1e6d08ca739220c23d555b47d0558c543763ed	d45e51f4b345b31c821b109d6513ac548e5ddd14198166d352561b0acbfe4fe5
SAMN02991381	MOD1_LS994	-	SRR1553791	1408MLGX6-3WGS	1408MLGX6-3WGS	FALSE	-	8196de8a9e63eed65981935bfdd7fe513ec4d522169e6e5dcc36fb8321891143	7bacf5c230ec01680ba02f3c4d97b421fccc740529f3c0be0e6c8431225a0792
