pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969092	ERS5446108	Coronahit routine	-	LR963219	NORW-EC5CF	-	3ff9ee2a161aaaf2e960d7c6c03fbcb1ff938390893c2ce757424e26aba2b9b2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d515eca1678d913f1eeda809ecf1d429341762fb4bc9f2a70c50275177e0ee32	NORW-EC5CF_ARTIC_LoCost	FALSE
ERR4970104	ERS5446108	Coronahit routine	-	LR963219	NORW-EC5CF	-	a426c1a5a89fa950005d0036864e787a71396011ba1d4a92572654aa86e6d132	92199019adc8405cfa4b402f1181217f084950a2e7ab9ccaf17f52c58daba5ca	d515eca1678d913f1eeda809ecf1d429341762fb4bc9f2a70c50275177e0ee32	NORW-EC5CF_CoronaHiT-Illumina	FALSE
ERR4969003	ERS5446108	Coronahit routine	-	LR963219	NORW-EC5CF	-	ce3cb33df5203ca2d0dcf4e03c6bf7ce2480588c2e16d976e1375d48d947d32e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d515eca1678d913f1eeda809ecf1d429341762fb4bc9f2a70c50275177e0ee32	NORW-EC5CF_CoronaHiT-ONT	FALSE
ERR4969089	ERS5446075	Coronahit routine	-	LR963201	NORW-EC5DE	-	3a7f15e38eaefc838d9ab28da1e8b97c6aae684d2289cfa8aefc1718f3e2f92d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2ef3db29dd6cd94702012bb037b64bcbf8e2d430b2b662b34d315ec4ecb97f52	NORW-EC5DE_ARTIC_LoCost	FALSE
ERR4970108	ERS5446075	Coronahit routine	-	LR963201	NORW-EC5DE	-	64bc33d86be102e98f3b5b9b3e1bb6dae5ec83c7305d153d86d6c150c979bc09	7349179ec27776c27be0e3298bde27273fdfd5c1e21f359e2b3307aafd29cb85	2ef3db29dd6cd94702012bb037b64bcbf8e2d430b2b662b34d315ec4ecb97f52	NORW-EC5DE_CoronaHiT-Illumina	FALSE
ERR4968995	ERS5446075	Coronahit routine	-	LR963201	NORW-EC5DE	-	0ae79c32cac4b9d197bdebd7741f6644c43f6f66b541aabb3ffb65534171f4de	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2ef3db29dd6cd94702012bb037b64bcbf8e2d430b2b662b34d315ec4ecb97f52	NORW-EC5DE_CoronaHiT-ONT	FALSE
ERR4969069	ERS5446114	Coronahit routine	-	LR963199	NORW-EC5ED	-	64748f51e2820bb810f7b4080ad3067b2349095cc6ffc28b71887b3094c7341f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	983ff7a335cadf9512ffd5abe74436159a26735148ca808e26b1ff9c2f1ea1d7	NORW-EC5ED_ARTIC_LoCost	FALSE
ERR4970120	ERS5446114	Coronahit routine	-	LR963199	NORW-EC5ED	-	fcfd8bcceb10f1298aad8557652dc8015594880b68f2c0446be812a6d8b77034	81b735fd4cd39f021a911efa6283fa693ec6fce495bb71f2a62d09ac29136066	983ff7a335cadf9512ffd5abe74436159a26735148ca808e26b1ff9c2f1ea1d7	NORW-EC5ED_CoronaHiT-Illumina	FALSE
ERR4968992	ERS5446114	Coronahit routine	-	LR963199	NORW-EC5ED	-	239176475a39fc1364fe7b793453831e1fa604944c86cc20b90425e71368b5dd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	983ff7a335cadf9512ffd5abe74436159a26735148ca808e26b1ff9c2f1ea1d7	NORW-EC5ED_CoronaHiT-ONT	FALSE
ERR4969120	ERS5446095	Coronahit routine	-	LR963194	NORW-EC5FC	-	49ec7530881168a173385a47bdcaa591997fec964a100ae34014da3c6ceae14b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d35df39b23abddf623f0c66e624ad509a11f405a2ad7950f5a1b2a122626657e	NORW-EC5FC_ARTIC_LoCost	FALSE
